Main,Office ID,"Office Name",Web Address,Fax,"Mail Address 1","Mail City",Mail State,Mail Zip Code
7065955240,58,"DOZIER REALTY",,7065955246,"346 MAin St.","Thomson",GA,30824
7067360429,60,"GREATER ASSOC OF REALTORS",www.augustarealtors.com,7067379112,"1214 Roy Road","AUGUSTA",GA,30909
7068632542,62,"BEST PRICE REALTORS",,7068632745,"5459 MEADOWLARK LANE","GROVETOWN",GA,30813
7067362339,63,"DEANER DIVERSIFIED TECHNOLOGIES, INC",www.deanerinc.com,7067363558,"831 CRAWFORD AVE","AUGUSTA",GA,30904
7067224962,64,"REX PROPERTY & LAND, LLC",www.rexgroup.com,7067220982,"307 11th St.","Augusta",GA,30903
7067962274,67,"BOB HALE REALTY",,7067935204,"3009 DEANS BRIDGE RD","AUGUSTA",GA,30906
7067366689,68,"ROWE AND ASSOCIATES",,7709999999,"2023 Broad St.","Augusta",GA,30904
7067710770,69,"A C & G REALTY COMPANY",,7067710730,"2454 WINDSOR SPRING RD","AUGUSTA",GA,30906
7067228420,70,"BERNARD JOHNSON REALTY",bernardjohnsonrealty.com,7067225050,"3107 DEANS BRIDGE RD","AUGUSTA",GA,30906
7068686913,71,"RE/MAX MASTERS, INC.",http://www.homesaboveaugusta.com,7068680887,"4316 Washington Rd","Evans",GA,308093938
7068603032,75,"JIM COURSON REALTY",www.coursonrealty.com,7068602881,"4063 Columbia Rd","Martinez",GA,309072221
7067900000,77,"RAY FREDERICKS REALTY CO.",www.augusta-realty.com,7709999999,"2595 Tobacco Rd","Hephzibah",GA,308157092
7065646231,78,"PRIME COMMERCIAL PROPERTIES",www.prime-properties.net,7709999999,"753 Broad St.","Augusta",GA,309011383
7067935677,79,"GOSHEN REALTY",,7709999999,"1663 Goshen Rd","Augusta",GA,309069355
7065954983,80,"COLDWELL BANKER-WATSON & KNOX",www.cbwatsonandknox.com,7065959014,"219 Main St.","Thomson",GA,30824
7068680378,81,"MAY APPRAISAL COMPANY",,7068280375,"573 BLUE BRIDGE CROSSING","EVANS",GA,30809
7066507657,83,"THE BINIC AGENCY",,7067983081,"153  DAVIS RD","MARTINEZ",GA,30907
7068631775,86,"PRUDENTIAL BEAZLEY REAL ESTATE-EVANS",www.prubeazleyrealestate.com,7068634303,"7009 Evans Town Center Blvd","EVANS",GA,30809
8032793973,87,"ROBERT HEOS REALTY CO.",,,"533 GEORGIA AVENUE","NORTH AUGUSTA",SC,29841
7068552255,88,"Adkinson Property Solutions & RE, LLC",,7068630662,"815 Fripp Court","Evans",GA,30809
7066500350,91,"CDM PROPERTIES",,7709999999,"4268 Deerwood Ln","Evans",GA,308094224
7068604098,92,"SUMMIT REALTY",,7709999999,"387 CROWN MILL DRIVE","MARTINEZ",GA,30907
8032798855,95,"HIXON REALTY COMPANY",www.hixonco.com,8032784961,"108 WEST SPRING GROVE AVE","NORTH AUGUSTA",SC,29841
7067988016,96,"GENE DUNCAN REALTY",,7709999999,"PO Box 15283","Augusta",GA,309191283
7066502288,97,"TRW INFORMATION SERVICES",,7066500083,"138 DAVIS RD","MARTINEZ",GA,30907
7068600849,98,"PHILIP BLACK REALTY",www.pbrealty.com,7068600849,"230 Maywood Dr","Martinez",GA,309072269
7067901797,99,"NORDAHL REALTY, INC.",www.nordahlrealty.com,7067905594,"209 PITCARIN WAY","AUGUSTA",GA,30909
7067981366,100,"MILITARY REALTY and MANAGEMENT",www.militaryrealty.biz,7709999999,"3252 Deans Bridge Rd","Augusta",GA,309064221
7067378802,101,"METRO REALTY",,7709999999,"3540 Wheeler Rd","Augusta",GA,30909
8032781523,104,"FORREST MCKIE & CO. REAL EST.",www.forrestmckie.com,8032780612,"919 GEORGIA AVENUE","N. AUGUSTA",SC,29841
7068293595,105,"COASTAL PIEDMONT PROPERTIES",,8032780056,"4 Indies Landing","North Augusta",SC,29841
8032785000,107,"MOUNT VINTAGE PROPERTIES",,8032785089,"215 MOUNT VINTAGE PLANTATION D","NORTH AUGUSTA",SC,29860
7068635176,108,"KUHLKE APPRAISAL SERVICES",,0,"3534 Karnoustie Drive","MARTINEZ",GA,30907
8034712423,110,"TOLLISON REALTY",,8034713707,"108 B PAULINE ST","JACKSON",SC,29831
8032753234,111,"DERRICK REALTY",www.derrickrealty.com,8032754253,"398 LEE ST","JOHNSTON",SC,29832
7067228334,112,"SHERMAN & HEMSTREET REAL ESTATE",,7067227289,"3523 Walton Way Extension","AUGUSTA",GA,30909
7062100325,114,"ANOINTED REALTY",,7062104462,"2701 Culverton Dr.","Augusta",GA,309063346
7068540924,115,"HARDY APPRAISAL",,7068556730,"512 PINEVIEW CT.","MARTINEZ",GA,30907
7065958421,116,"CENTURY 21 LARRY MILLER REALTY-THOMSON",www.C21LarryMiller.com,7065958472,"1665 Washington Rd","Thomson",GA,30824
8036488675,117,"AIKEN APPRAISAL",,8036493712,"318 PARK AVE","AIKEN",SC,29801
7065890277,118,"PINNACLE PROPERTIES REALTY",www.pp-realty.com,7067375221,"1807 VALLEY PARK COURT","AUGUSTA",GA,30909
7068319560,122,"GILBERT IAROCCI REALTY",,0,"601 REGENT RD","AUGUSTA",GA,30909
7067926010,123,"VLB SR REAL ESTATE & INVESTMENTS, LLC",www.vinsonandcompany.com,7067926035,"3105 Spring Grove Dr","AUGUSTA",GA,30906
7067362252,124,"WALKER REAL ESTATE",,7067364084,"2479 Wrightsboro Rd","AUGUSTA",GA,30904
7068608705,126,"HEFNER REALTY, INC.",,7068638086,"453 Columbia Ind. Blvd, Ste 5","EVANS",GA,30809
7062107888,127,"BUYERS HOMELINK, INC.",www.buyershomelink.com,7062104566,"427 N. Belair Rd","Evans",GA,30809
7068600000,129,"CENTURY 21 LARRY MILLER REALTY-EVANS",www.C21LarryMiller.com,7069999999,"235 N Belair Rd","Evan",GA,30809
7065310057,130,"STYLE TECH APPRAISAL GROUP, INC",,7065310068,"123 OAK FOREST DRIVE","DAWSONVILLE",GA,30534
7065956257,131,"STEPHEN L. COOK",,0,"1658 CENTRAL ROAD EXTENSION","THOMSON",GA,30824
,132,"NON-MLS MEMBER",,,"","",,
,133,"SUPRA",,,"4011 FAIRVIEW IDUSTRIAL DR","SALEM",OR,97302
8032922929,136,"CAREY AND ASSOCIATES",,8036424058,"262 EASTGATE DRIVE # 182","AIKEN",SC,29803
7068771887,138,"WANDA S SAMUELS REALTY, LLC",,0,"PO Box 533","Grovetown",GA,30813
8643912151,140,"VILLAGE REAL ESTATE",,8649314124,"128 SC HWY 7","MCCORMICK",SC,29835
7063738761,142,"MILLENNIUM GROUP REALTY, INC",,7067606901,"PO BOX 14073","AUGUSTA",GA,30919
7062312682,143,"KEITH B LIVELY AND ASSOCIATES",,7068699430,"3527 CRAWFORDVILLE DRIVE","AUGUSTA",GA,30909
7064968767,145,"REAL MCCOY BROKERAGE COMPANY, LLC",www.therealmccoyinrealestate.com,7064968040,"1287 C Marks Church Rd.","AUGUSTA",GA,30909
8036490045,146,"FOX & HOUND REALTY",www.foxandhoundrealty.com,8036490062,"2404 B WHISKEY ROAD","AIKEN",SC,29803
8032781818,147,"SHANNON ROLLINGS REAL ESTATE",www.shannonr.com,4803935335,"336 GEORGIA AVE, Suite 107","NORTH AUGUSTA",SC,29841
7068600057,149,"VANDERMORGAN REALTY",www.vandermorganrealty.com,7068601749,"3401 Washington Rd","Martinez",GA,30907
7062101234,150,"JCV REALTY, LL",,7069558149,"517 SUMTER COURT","Evans",GA,30809
8032790999,151,"RIVERVIEW REALTY SHOPPE",,,"524 GEORGIA AVE","NORTH AUGUSTA",SC,29841
8775001415,152,"RED BELL REAL ESTATE",www.redbellre.com,8014644084,"1415 S MAIN STREET","SALT LAKE CITY",UT,84115
7065541583,153,"BAKER APPRAISAL COMPANY",,7062622910,"PO BOX 445","HEPHZIBAH",GA,30815
8036431018,154,"BLANCHARD AND CALHOUN SOUTH CAROLINA",,0,"115 LAURENS STREET SW","AIKEN",SC,29801
7065926110,155,"CHOICE REALTY, INC",,7065926190,"2476 HWY 88 SUITE F","HEPHZIBAH",GA,30815
8036483841,157,"MCNEILL APPRAISAL SERVICE",,8036417500,"1411 HAYNE AVE","AIKEN",SC,29801
8036487851,158,"COLDWELL BANKER UNITED, REALTORS",,8036488243,"108 LAURENS ST NW","AIKEN",SC,29801
7068551818,159,"CASEY and ASSOCIATES REALTY CO.",,7068558191,"4205 COLUMBIA ROAD","MARTINEZ",GA,30907
7068283857,160,"VIRTUAL REALTY - AUG CHRONICLE",,,"BROAD ST","AUGUSTA",GA,30909
7068555831,161,"LAWRENCE APPRAISING COMPANY",,0,"229 Anneswood Rd","Martinez",GA,30907
7067932706,162,"BLOUNT'S REALTY",,7067939083,"2907 C TOBACCO RD","HEPHZIBAH",GA,30815
7068680001,163,"BOOTS HOLDEN REAL ESTATE",,7068680088,"3408 Middleton Dr","Augusta",GA,309073542
7067380202,164,"PHILIP RAMP APPRAISAL CO.",,7067380204,"2415 WOODBLUFF CT","AUGUSTA",GA,30909
8036441355,166,"REAL ESTATE ONE",,8036447955,"578 SILVER BLUFF RD","AIKEN",SC,29803
7068609221,168,"GEORGE KELLEY REALTY",,7068603555,"596 Country Place","Evans",GA,308090099
7068601126,170,"OTYSON REAL ESTATE, INC.",,7709999999,"489 COLUMBIA INDUSTRIAL BLVD","EVANS",GA,30809
7067361090,173,"HENRY GARRETT REALTY",,7067360891,"3540 Wheeler Rd","Augusta",GA,309091871
7065971400,176,"STADLER  APPRAISAL",,0,"1934 MATTOX CREEK DR","THOMSON",GA,30824
7068696989,179,"MEYBOHM REALTORS NEW HOME DIVS",,7068696987,"6004 EVANS TOWN CENTER BLVD","EVANS",GA,30809
8775567106,184,"BENCHMARK GROUP, INC.",,9122013724,"615 Roswell St","Marietta",GA,30060
7068634443,186,"MARTINEZ REALTY CO.",,7068634445,"4200 WASHINGTON ROAD","MARTINEZ",GA,30907
7067227371,189,"JACK L. MINOR REALTY",,7709999999,"429 Telfair St","Augusta",GA,309012451
7063591258,191,"SOUTHERN CLASSIC REALTY",www.sharonbryan.com,7063591259,"Po. Box 925","LINCOLNTON",GA,30817
7068556380,193,"TOM L. DAVIS APPRAISERS",www.davisaappraisers.com,7067338909,"3540 Wheeler Road, Suite 206","AUGUSTA",GA,30909
7067224308,194,"BRASHEAR REALTY CORP.",www.brashearrealty.com,7067224374,"513 Broad St","Augusta",GA,309011419
7067932400,196,"VETERANS REALTY COMPANY, INC.",http://veteransrealtyaugusta.com/,7067933971,"2920 Tobacco Rd","Hephzibah",GA,308157006
7067960106,197,"CENTURY 21 JEFF KELLER REALTY",http://www.century21jk.com,7067938427,"2448 Lumpkin Rd","Augusta",GA,309063016
7068689810,200,"HUDSON WHALEY PROPERTIES",,0,"PO Box 157","Evans",GA,30809
8644653136,201,"JOHNSON REALTY",,,"PO BOX 118","MCCORMICK",SC,29835
7068683772,202,"KELLER WILLIAMS REALTY",KW.COM,7068683782,"3633 WHEELER RD","AUGUSTA",GA,30909
7068689889,203,"HOMETOWN REALTY",,0,"PO BOX 98","EVANS",GA,30809
7067388700,205,"CHANNELL REALTY COMPANY",,7709999999,"414 Wheeler Executive Cnt","Augusta",GA,30909
7068681005,207,"MC BRIDE REALTY, Inc.",www.McBrideRealty.us,7062285105,"4426 Washington Rd","Evan",GA,30809-1243
7068549577,208,"JOHN WILDER REALTY",,0,"711 Hidden Place","AUGUSTA",GA,30907
7069518084,209,"SKIPPER INVESTMENT PROPERTIES CO",,7709999999,"601 Millstone Dr.","Evans",Ga,30809
7063733126,210,"NOWELL REALTY",,7068602211,"534 BLACKBURN DR","MARTINEZ",GA,30907
7066641105,212,"WRIGHT-GILYARD AND ASSOCIATES",www.wright-gilyard.com,7069932175,"519 HILLWOOD CIRCLE","AUGUSTA",GA,30909
7064968470,215,"FRANK STEWART REALTY, INC.",,7069558812,"2214 HARDING RD","AUGUSTA",GA,30906
7067906941,216,"GOOD NEWS REALTY",,7709999999,"3452 Peach Orchard Rd Ste C","Augusta",GA,309065942
7067228430,217,"PAT JEFFERSON REALTY",,7709999999,"1126 11th St","Augusta",GA,309012815
7067337111,218,"HODGES PROPERTIES",,7067332216,"1915 WALTON WAY","AUGUSTA",GA,30904
7063593818,219,"BROAD RIVER REALTY",www.georgia-realestate.biz,7063592499,"1245 Lewis Family Rd.","Lincolnton",GA,30817
7063063728,220,"VINING APPRAISAL SERVICE, INC.",,7063647930,"4455 Dogwood Way","EVANS",GA,30809
7068681131,221,"NORDAHL REALTY",,,"209 PITCARIN WAY","AUGUSTA",GA,30909
7068631114,222,"ANNE ECKERSON REALTY, INC.",www.anneeckersonrealty.com,7069999999,"118 Commercial Blvd","Augusta",GA,30907
7065953216,223,"THE WILSON COMPANY",www.wilsonrealtor.com,7065953244,"114 Main St","Thomson",GA,308240550
7063643343,225,"GOOD SENSE REALTY",GoodSense.biz,7063643346,"3514  WRIGHTSBORO RD","AUGUSTA",GA,30909
7068607273,226,"ROLSTON WILDER REAL ESTATE",,7068607273,"597 Country Place Lane","Evans",GA,30809
7066510015,228,"SID BECKUM REALTY",,0,"3758 EVANS TO LOCKS RD.","MARTINEZ",GA,30907
7065410637,229,"DEFOOR REALTY",www.defoorrealty.com,7709999999,"RR 3 Box 1354","Appling",GA,308029744
4786259318,230,"WASDEN REALTY",www.wasdenrealty.com,4786259319,"1100 Bridges Rd.","Louisville",GA,30434
8032792060,231,"PRESLEY REALTY, INC",,8032794940,"PO Box 6033","N Augusta",SC,29861
,232,"Ghost",,,"","",,
7065647368,233,"CASTLE REAL ESTATE INVESTMENTS, LLC",,7066501613,"947 MITCHELL LANE","EVANS",GA,30809
7067986605,234,"WILDERNESS, RECREATION, & WATERFRONT PRO",,7067986605,"2901 DEAN BRIDGE ROAD","AUGUSTA",GA,30906
7068336339,235,"REAL ESTATE AND  APPRAISAL SERVICES",,8038191704,"22 FOXCREEK DRIVE","NORTH AUGUSTA",SC,29860
7065410018,236,"ASSOCIATED REAL ESTATE APPRAISALS, INC.",,7065419569,"PO BOX 204478","MARTINEZ",GA,30917
7067382929,238,"COLDWELL BANKER RESIDENTIAL REAL ESTATE",,7067382909,"1 GLENLAKE PARKWAY","ATLANTA",GA,30328
7068634540,241,"BROWN APPRAISALS",,7068604585,"853 PARK CHASE DR","EVANS",GA,30809
8032152374,245,"LANDMARK REALTY",,7067908552,"3239 DEANS BRIDGE RD","AUGUSTA",GA,30906
8036411779,248,"SOUTH CAROLINA APPRAISAL SERVICES",,8036438133,"224 BAY TREE CT","AIKEN",SC,29803
4046252783,249,"GREEN APPLE VAULATIONS",,4047950554,"1475 BUFORD DRIVE","LAWRENCEVILLE",GA,30043
7066508392,251,"A & E Properties",,7063646610,"330 Oaklake Drive","Augusta",GA,30907
6783050070,252,"REMAX CHAMPIONS",,6783050360,"2810 PACES FERRY RD","ATLANTA",GA,30339
7065467196,253,"APPRAISAL ASSOCIATES OF NORTH GEORGIA",,7063690093,"1860 BARNETT SHOALS ROAD","ATHENS",GA,30605
8036482216,254,"LAISSEZ FAIRE SOTHEBY'S REALTY",www.LFSIR.com,8036486414,"120 LAURENS ST NW","AIKEN",SC,29801
4784710431,256,"NEW IMAGE APPRAISAL SERVICES",,4784718483,"1336 LANCELOT LN","MACON",GA,31220
7067391020,258,"MEYBOHM REALTORS-WHEELER RD",,7067391029,"3512 1/2 WHEELER RD","AUGUSTA",GA,30909
7067363230,259,"VANN APPRAISAL SERVICES INC.",,7067363232,"2041 CENTRAL AVE","AUGUSTA",GA,30904
7068405209,262,"FREEDOM APPRAISAL COMPANY",,,"4397 OWENS ROAD","EVANS",GA,30809
8034429099,263,"WOODWARD and ASSOCIATES",www.woodwardrealestategroup.com,8036139800,"217 B. Edgefield Rd.","NORTH AUGUSTA",SC,29841
7062678930,264,"PERDUE APPRAISAL SERVICES",,7067360295,"2534 Central Ave","AUGUSTA",GA,30904
7064955066,265,"THE PIERCE GROUP, INC",,8888259442,"1138 Hunters Cove","EVANS",GA,30809
7066500111,266,"MRC REALTY, INC",,0,"864 Willow Lake","Evans",GA,30809
7062844444,267,"J. MICHAEL HARRISON",,7067310984,"3007 PINE NEEDLE","AUGUSTA",GA,30909
4042106855,268,"FASTSTART REAL ESTATE SERICES, LLC",,7706380738,"2505 DACULA RIDGE DRIVE","DACULA",GA,30019
7067226857,270,"E.W. REECE and ASSOCIATES",,0,"P.O. Box 1726","Augusta",GA,30903
0,271,"PIERCE BLITCH APPRAISAL CO., INC.",,0,"104 WHEELER EXECUTIVE CENTER","AUGUSTA",GA,30909
8036131641,273,"NORTH AUGUSTA RIVERFRONT CO., LLC",,8036131957,"89 Crystal Lake Drive","NORTH AUGUSTA",SC,29841
3129321111,274,"IGGYS HOUSE BROKERAGE SERVICES, INC.",,8774277329,"1 S. WACKER","CHICAGO",IL,60606
8032154810,275,"BLACKSTON AND ASSOCIATES INC",,8034410038,"215 SWEETWATER ROAD","NORTH AUGUSTA",SC,29860
7065957989,277,"SISSON REALTY and TIMBER SERVICES, INC",,7065979144,"119 WHITEOAK ST","THOMSON",GA,30824
8032794546,278,"PLETCHER GROUP APPRAISERS",,8032794547,"PO BOX 6918","NORTH AUGUSTA",SC,29841
7064956070,281,"STEED REALTY GROUP COMMERCIAL",www.steedrealtygroup.com,0,"2226 Woodbluff Way","AUGUSTA",GA,30909
8648821918,282,"PALMETTO PREFERRED PROPERTIES",,8648823444,"PO BOX 368","SENECA",SC,29679
7063592699,283,"RE/MAX AT THE LAKES",,7063593823,"2161 MCCORMICK HIGHWAY","LINCOLNTON",GA,30817
7065540340,284,"MARY YELTON REALTY, LLC",www.maryyeltonrealty.com,7065547633,"310 LIBERTY STREET","WAYNESBORO",GA,30830
8036457883,285,"OLDE SOUTH PROPERTIES & INVESTMENTS",www.aikenaugustahomes.com,0,"419 West Martintown Rd","North Augusta",SC,29841
7063644234,286,"WEICHERT, REALTORS-CORNERSTONE",www.cornerstoneaugusta.com,7063644237,"4434 COLUMBIA ROAD","MARTINEZ",GA,30907
7065954654,287,"BRADSHAW LAND & REALTY",www.realtybradshaw.com,7065958149,"617 Main Street","Thomson",GA,30824
7063647653,288,"BETTER HOMES & GARDENS REAL ESTATE EP",www.epaugusta.com,7063647697,"4210 COLUMBIA ROAD","MARTINEZ",GA,30907
7063069090,292,"SUMMIT APPRAISAL SERVICES",,7066510914,"860 HAMILTON COURT","EVANS",GA,30809
7067933360,296,"CENTURY 21 LARRY MILLER-HEPHZIBAH",www.c21larrymiller.com,7067969420,"3008 TOBACCO ROAD","HEPHZIBAH",GA,30815
7064531680,297,"FUN LAKE, INC",,8663865253,"2575 SWORD RD","GREENSBOR",GA,30642
7062846394,300,"GATEWAY REALTY & PROP. MANAGEMENT",,7064479010,"475 Lewiston Rd","Grovetown",GA,30813
7064378800,301,"JANICE MORRIS REALTY",www.janicemorrisrealty.com,7064378222,"140 Manau Lane","WAYNESBORO",GA,30830
7067997566,303,"KIGHT APPRAISAL SERVICES",,7065600440,"3205 RUSHING ROAD","AUGUSTA",ga,30906
8036420178,304,"CSRA RESIDENTIAL APPRAISAL SERVICES",,8036485913,"PO BOX 5789","AIKEN",SC,29804
7068697313,305,"CONNIE C WARD",wardrealtyllc.com,7063792026,"815 BROOKFIELD PARKWAY","MARTINEZ",GA,30907
7062100190,309,"JAY L BOEGLEN APPRAISALS INC",,7062100170,"3521 INTERLACHEN DR.","MARTINEZ",GA,30907
4043774545,311,"NACA",,4043774343,"125 CLAIREMONT AVE","DECATUR",GA,30030
8006905803,312,"MLSMART REALTY, LLC",,8666000352,"1625 HERITAGE TRAIL","ROSWELL",GA,30075
7065549953,313,"SHIVERS REAL ESTATE INVESTMENTS",www.GeorgiaLand.com,7709999999,"316 S. Liberty Street","Waynesboro",GA,308300849
7065957880,314,"CSRA REAL ESTATE PROFESSIONALS, LLC",,7065954003,"PO BOX 1137","THOMSON",GA,308324
7068638182,317,"COLLIER MANAGEMENT CO., LLC",www.colliermgmt.com,7068634083,"4310 BELAIR FRONTAGE ROAD","AUGUSTA",GA,30909
7068632212,318,"VERONICA HARRIS REALTY, LLC",http://veronicaharrisrealty.net,7068632209,"211 Pleasant Home Road (A25)","Augusta",GA,30907
7065644898,320,"CUSTOM REALTORS, LLC",,7067366838,"2016 HIGHLAND AVE","AUGUSTA",GA,30904
7068348800,322,"EMORY WILLIAMSON COMPANY",www.southernadvisors.com,6618858800,"PO BOX 3621","AUGUSTA",GA,30914
7065543008,324,"MIKE SMITH FORESTRY & REALTY, LLC",www.landandtimberinga.com,7065542645,"206 MANAU LANE","WAYNESBORO",GA,30830
7064473071,326,"MCATEER REALTY INC",mcateerrealty.com,7064473072,"4793 Hardy McManus Road","Evans",GA,30809
7065546097,327,"HAWKINS AND WHITAKER, LLC",www.HawkinsWhitaker.com,0,"223 A East 6th St","WAYNESBORO",GA,30830
7068554006,329,"GOLDCREST REALTY GROUP",,7066640409,"PO Box 1309","Evans",GA,30809
7064956070,332,"STEED REALTY GROUP",www.steedrealtygroup.com,7069223684,"2226 Woodbluff Way","AUGUSTA",GA,30909
8036446964,334,"APPRAISALS BY POST",,8036446968,"1421 RICHALND AVE","AIKEN",SC,29801
7062944171,335,"RIVERCHASE PROPERTIES, LLC",,0,"3038 WESTWOOD ROAD","AUGUSTA",GA,30909
7706611313,336,"ERA EXECUTIVE REALTY",,7706611312,"2690 COBB PARKWAY","SMYRNA",GA,30080
7063394404,338,"HAYWOOD APPRAISALS",,7063099898,"3001 TIMBER WOODS DRIVE","APPLING",GA,30802
8008467655,339,"ONLINE REAL ESTATE, INC",,8888409986,"7900-D Stevens Mill Rd #213","MATTHEWS",NC,28104
7069229292,340,"RE/MAX TRUE ADVANTAGE",www.remaxtrueadvantage.com,7063640897,"1105 FURYS LANE","MARTINEZ",GA,30907
7064954939,342,"SEWARD REALTY GROUP, LLC",gail4augustahomes.com,7066517720,"P O BOX 2493","EVANS",GA,30809
8035643315,344,"WAGENER INSURANCE AGENCY & REALTY, INC",,8035646217,"113 PARK STREET NE","WAGENER",SC,29164
8036486025,345,"EXIT OLDE SOUTH REALTY-AIKEN",,8036486026,"139 NEWBERRY ST SW","AIKEN",SC,29801
7065894343,346,"MULICH REALTY, LLC",,7067552260,"PO BOX 1368","EVANS",GA,30809
8036431899,348,"WOODSIDE-AIKENREALTY",www.woodside-aiken.com,8036430049,"1419 SILVER BLUFF ROAD","AIKEN",SC,29803
8644896285,351,"SHELTON PROPERTIES INC.",,8644896631,"208 NORTH LOGAN STREET","GAFFNEY",SC,29342
7067387653,353,"Augusta Realty Company",,0,"2541 Walton Way","Augusta",GA,30904
7063643929,354,"MAIN STREET PROPERTIES",mainstreetcsraproperties.comcastbiz.net,7063642840,"3459 Wrightsboro Rd","Augusta",GA,30919-2023
7069221270,356,"TAURUS REAL ESTATE",bandcrealtygroup.com,7069221271,"3114 AUGUSTA TECH DR","AUGUSTA",GA,30906
0,357,"SIMS APPRAISAL SERVICE",,0,"138 Davis Rd","Martinez",GA,
7067992684,358,"OPTION 1 REALTY",www.optiononerealty.biz,8662106830,"3276 Buford Drive","Buford",GA,30519
7063051551,359,"AUBEN REALTY LLC",www.aubenrealty.com,7069451789,"1918 CENTRAL AVE","AUGUSTA",GA,30904
6787788309,360,"NRP REALTY ASSOCIATES, LLC",,7702346980,"3966 MANSON AVE","SMYRNA",GA,30082
